configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,16,10,9.868664522973429,157.89863236757486,4.3125,CLEANUP,16.0,2.0,11.0,0.0,0.0
local,WA,16,10,9.868664522973429,157.89863236757486,29281.551839464883,UPDATE,598.0,3100.0,1729471.0,55.0,450.0
local,WA,16,15,14.802753312116053,236.84405299385685,4.1875,CLEANUP,16.0,1.0,14.0,0.0,0.0
local,WA,16,20,19.89225031081641,318.2760049730626,5.3125,CLEANUP,16.0,1.0,53.0,0.0,0.0
local,WA,16,25,24.529644074864475,392.4743051978316,1.125,CLEANUP,16.0,1.0,3.0,0.0,0.0
local,WA,16,30,29.875022821197987,478.0003651391678,53861.457900807385,READ,1734.0,2731.0,3650808.0,70.0,839.0
local,WA,16,30,29.875022821197987,478.0003651391678,3.75,CLEANUP,16.0,2.0,6.0,0.0,0.0
local,WA,16,30,29.875022821197987,478.0003651391678,48307.12915326902,UPDATE,1866.0,2758.0,3646034.0,64.0,574.0
local,WA,16,35,34.80307261412508,556.8491618260013,3.5625,CLEANUP,16.0,1.0,10.0,0.0,0.0
local,WA,16,35,34.80307261412508,556.8491618260013,56284.340394800194,UPDATE,2077.0,2773.0,3954095.0,91.0,804.0
local,WA,16,40,39.870752311257675,637.9320369801228,50187.88525269263,READ,2414.0,2680.0,3961384.0,73.0,304.0
local,WA,16,40,39.870752311257675,637.9320369801228,2.9375,CLEANUP,16.0,0.0,6.0,0.0,0.0
local,WA,16,40,39.870752311257675,637.9320369801228,46977.55867560771,UPDATE,2386.0,2784.0,3983588.0,65.0,272.0
local,WA,16,45,44.800265483054716,716.8042477288755,50325.77640910788,READ,2679.0,2598.0,4408417.0,67.0,298.0
local,WA,16,45,44.800265483054716,716.8042477288755,3.625,CLEANUP,16.0,2.0,5.0,0.0,0.0
local,WA,16,45,44.800265483054716,716.8042477288755,40576.450569643515,UPDATE,2721.0,2726.0,4348899.0,66.0,251.0
local,WA,16,50,49.8657779476908,797.8524471630528,48250.978660538414,READ,3046.0,2684.0,4103283.0,69.0,411.0
local,WA,16,50,49.8657779476908,797.8524471630528,3.8125,CLEANUP,16.0,1.0,11.0,0.0,0.0
local,WA,16,50,49.8657779476908,797.8524471630528,38477.995260663505,UPDATE,2954.0,2706.0,4076332.0,66.0,291.0
local,WA,16,55,54.826838568188805,877.2294170910209,45423.19734459867,READ,3314.0,2678.0,4457791.0,67.0,350.0
local,WA,16,55,54.826838568188805,877.2294170910209,3.6875,CLEANUP,16.0,1.0,12.0,0.0,0.0
local,WA,16,55,54.826838568188805,877.2294170910209,39544.45069993914,UPDATE,3286.0,2628.0,4389228.0,65.0,255.0
local,WA,16,60,59.866298599793794,957.8607775967007,48220.45662351969,READ,3631.0,2588.0,4643706.0,78.0,238.0
local,WA,16,60,59.866298599793794,957.8607775967007,3.25,CLEANUP,16.0,2.0,6.0,0.0,0.0
local,WA,16,60,59.866298599793794,957.8607775967007,38882.97338189969,UPDATE,3569.0,2551.0,4641052.0,72.0,241.0
local,WA,16,65,64.80289120591534,1036.8462592946455,44573.692946058094,READ,3856.0,2439.0,4634642.0,65.0,365.0
local,WA,16,65,64.80289120591534,1036.8462592946455,3.25,CLEANUP,16.0,0.0,19.0,0.0,0.0
local,WA,16,65,64.80289120591534,1036.8462592946455,39902.28220081136,UPDATE,3944.0,2595.0,4638709.0,69.0,255.0
