configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,16,10,9.871505898224774,157.94409437159638,68502.73514431239,READ,589.0,2957.0,2059336.0,123.0,0
local,WA,16,10,9.871505898224774,157.94409437159638,68464.09001636661,UPDATE,611.0,4134.0,2055470.0,148.0,0.0
local,WA,16,100,97.46272050940516,1559.4035281504825,36310.628874523456,READ,6033.0,2607.0,5261941.0,63.0,220.0
local,WA,16,100,97.46272050940516,1559.4035281504825,46402.85201944025,UPDATE,5967.0,2687.0,5349478.0,69.0,224.0
local,WA,16,110,109.84073094013681,1757.451695042189,52337.88768337408,READ,6544.0,2622.0,5705451.0,71.0,184.0
local,WA,16,110,109.84073094013681,1757.451695042189,46560.86974158654,UPDATE,6656.0,2659.0,5704121.0,74.0,202.0
local,WA,16,120,119.8481922897663,1917.5710766362608,35683.899624635065,READ,7193.0,2595.0,5974639.0,63.0,193.0
local,WA,16,120,119.8481922897663,1917.5710766362608,39093.4345774941,UPDATE,7207.0,2664.0,5962281.0,65.0,174.0
local,WA,16,130,129.77073836222672,2076.3318137956276,34808.05991550378,READ,7811.0,2529.0,5922689.0,53.0,144.0
local,WA,16,130,129.77073836222672,2076.3318137956276,33112.02156887919,UPDATE,7789.0,2558.0,5904620.0,54.0,129.0
local,WA,16,140,139.84849746108384,2237.5759593773414,39595.20023809524,READ,8400.0,2524.0,6190276.0,64.0,195.0
local,WA,16,140,139.84849746108384,2237.5759593773414,37313.10071428571,UPDATE,8400.0,2631.0,6176409.0,65.0,187.0
local,WA,16,15,14.825064241945048,237.20102787112077,70023.52637362637,READ,910.0,2853.0,2279264.0,117.0,187.0
local,WA,16,15,14.825064241945048,237.20102787112077,58024.80337078652,UPDATE,890.0,3077.0,2379642.0,88.0,0.0
local,WA,16,150,149.87510407993338,2398.001665278934,39554.18461709459,READ,8997.0,2642.0,6595410.0,65.0,143.0
local,WA,16,150,149.87510407993338,2398.001665278934,38568.74319671221,UPDATE,9003.0,2653.0,6578072.0,66.0,143.0
local,WA,16,160,156.02779245053026,2496.444679208484,40673.270708974764,READ,9549.0,2467.0,7557904.0,71.0,173.0
local,WA,16,160,156.02779245053026,2496.444679208484,41760.322660864156,UPDATE,9651.0,2526.0,7596099.0,71.0,213.0
local,WA,16,170,163.97791121078396,2623.6465793725433,39206.01793456839,READ,10148.0,2535.0,6448047.0,63.0,219.0
local,WA,16,170,163.97791121078396,2623.6465793725433,42920.5070230199,UPDATE,10252.0,2467.0,6449988.0,63.0,217.0
local,WA,16,180,179.85911036354855,2877.745765816777,50342.51308411215,READ,10700.0,2697.0,7563457.0,79.0,506.0
local,WA,16,180,179.85911036354855,2877.745765816777,53504.115779816515,UPDATE,10900.0,2551.0,7559087.0,77.0,545.0
local,WA,16,190,189.83863715841534,3037.4181945346454,38606.882259628095,READ,11347.0,2503.0,6499386.0,67.0,171.0
local,WA,16,190,189.83863715841534,3037.4181945346454,37040.31039902209,UPDATE,11453.0,2508.0,6510769.0,68.0,170.0
local,WA,16,20,19.699743082517298,315.19588932027676,74047.47217675942,READ,1222.0,2824.0,2976887.0,98.0,170.0
local,WA,16,20,19.699743082517298,315.19588932027676,87225.14091680814,UPDATE,1178.0,2973.0,2928378.0,126.0,0.0
local,WA,16,200,199.8035265322433,3196.8564245158927,35646.178188417754,READ,12122.0,2597.0,6591833.0,59.0,142.0
local,WA,16,200,199.8035265322433,3196.8564245158927,36628.93163832295,UPDATE,11878.0,2589.0,6585120.0,61.0,154.0
local,WA,16,210,209.83737603357397,3357.3980165371836,36949.55887230514,READ,12663.0,2508.0,7588355.0,61.0,147.0
local,WA,16,210,209.83737603357397,3357.3980165371836,40315.405360134006,UPDATE,12537.0,2546.0,7597569.0,61.0,140.0
local,WA,16,220,219.80766829024603,3516.9226926439364,41689.3036437247,READ,13091.0,2527.0,7988790.0,63.0,157.0
local,WA,16,220,219.80766829024603,3516.9226926439364,36787.63956721016,UPDATE,13309.0,2537.0,7964465.0,64.0,155.0
local,WA,16,230,229.82762927804146,3677.2420684486633,39120.174417771406,READ,13955.0,2588.0,6928017.0,64.0,152.0
local,WA,16,230,229.82762927804146,3677.2420684486633,39452.43056064493,UPDATE,13645.0,2609.0,6944081.0,64.0,144.0
local,WA,16,240,234.31207439408362,3748.993190305338,36756.00752351097,READ,14355.0,2462.0,7351646.0,59.0,138.0
local,WA,16,240,234.31207439408362,3748.993190305338,35661.14330218069,UPDATE,14445.0,2865.0,7341914.0,60.0,150.0
local,WA,16,25,24.807124606186896,396.91399369899034,73818.51203208556,READ,1496.0,2557.0,3558236.0,138.0,150.0
local,WA,16,25,24.807124606186896,396.91399369899034,65718.5704787234,UPDATE,1504.0,2507.0,3507523.0,114.0,707.0
local,WA,16,250,249.78144123891596,3996.5030598226554,39023.0592153467,READ,15013.0,2439.0,7010339.0,60.0,143.0
local,WA,16,250,249.78144123891596,3996.5030598226554,38970.15913791953,UPDATE,14987.0,2540.0,7005186.0,61.0,156.0
local,WA,16,260,259.82894594392025,4157.263135102724,38333.15067345492,READ,15517.0,2652.0,7617562.0,61.0,141.0
local,WA,16,260,259.82894594392025,4157.263135102724,41022.612892941404,UPDATE,15683.0,2624.0,7628874.0,62.0,138.0
local,WA,16,270,269.82236694176333,4317.157871068213,43287.94476260854,READ,16239.0,2580.0,8622832.0,63.0,128.0
local,WA,16,270,269.82236694176333,4317.157871068213,40313.30635480478,UPDATE,16161.0,2593.0,8642336.0,63.0,125.0
local,WA,16,280,273.59781121751024,4377.564979480164,39224.45288444258,READ,16693.0,2485.0,7929078.0,60.0,127.0
local,WA,16,280,273.59781121751024,4377.564979480164,39799.652629088545,UPDATE,16907.0,2670.0,7944909.0,60.0,118.0
local,WA,16,290,289.8357597361495,4637.372155778392,42817.532939336,READ,17259.0,2558.0,8213909.0,65.0,115.0
local,WA,16,290,289.8357597361495,4637.372155778392,41892.83034034548,UPDATE,17541.0,2524.0,8272540.0,64.0,107.0
local,WA,16,30,29.883206468054023,478.1313034888644,66151.10337202875,READ,1809.0,2838.0,4284184.0,80.0,107.0
local,WA,16,30,29.883206468054023,478.1313034888644,54022.76102735902,UPDATE,1791.0,2986.0,4136040.0,79.0,304.0
local,WA,16,300,296.2987349690121,4740.779759504194,51438.902673256205,READ,17806.0,2711.0,8359117.0,84.0,206.0
local,WA,16,300,296.2987349690121,4740.779759504194,53046.19149170056,UPDATE,18194.0,3403.0,8371877.0,87.0,202.0
local,WA,16,35,34.82096221925599,557.1353955080958,48908.97303803563,READ,2077.0,2838.0,3744649.0,66.0,289.0
local,WA,16,35,34.82096221925599,557.1353955080958,54533.32689590203,UPDATE,2123.0,2852.0,3669742.0,75.0,289.0
local,WA,16,40,39.870752311257675,637.9320369801228,52711.82893652102,READ,2426.0,2700.0,4630132.0,79.0,280.0
local,WA,16,40,39.870752311257675,637.9320369801228,56475.5299073294,UPDATE,2374.0,2800.0,4627711.0,82.0,282.0
local,WA,16,45,44.80509782446358,716.8815651914173,52171.4289415248,READ,2702.0,2733.0,4104451.0,68.0,393.0
local,WA,16,45,44.80509782446358,716.8815651914173,44594.960711638254,UPDATE,2698.0,2910.0,4124984.0,69.0,338.0
local,WA,16,50,49.86080525200482,797.7728840320772,45106.48014930438,READ,2947.0,2831.0,4552148.0,61.0,171.0
local,WA,16,50,49.86080525200482,797.7728840320772,48076.36947264985,UPDATE,3053.0,2846.0,4530108.0,63.0,179.0
local,WA,16,55,54.78724287350788,876.595885976126,44208.93074534161,READ,3220.0,2648.0,5399031.0,59.0,229.0
local,WA,16,55,54.78724287350788,876.595885976126,48915.98224852071,UPDATE,3380.0,2511.0,5152049.0,67.0,257.0
local,WA,16,60,59.88920497080401,958.2272795328641,50258.698882681565,READ,3580.0,2547.0,4892636.0,67.0,235.0
local,WA,16,60,59.88920497080401,958.2272795328641,42401.580110497234,UPDATE,3620.0,2702.0,4871106.0,68.0,226.0
local,WA,16,65,62.96466713486547,1007.4346741578476,48335.444930519814,READ,3886.0,2599.0,4584484.0,62.0,258.0
local,WA,16,65,62.96466713486547,1007.4346741578476,55354.34210526316,UPDATE,3914.0,2597.0,4579102.0,68.0,296.0
local,WA,16,70,69.85098456625865,1117.6157530601383,36994.76976355386,READ,4187.0,2508.0,5167868.0,55.0,144.0
local,WA,16,70,69.85098456625865,1117.6157530601383,43768.208165202945,UPDATE,4213.0,2647.0,5207344.0,60.0,146.0
local,WA,16,75,74.79120787800723,1196.6593260481156,38641.35064645564,READ,4486.0,2539.0,5125009.0,61.0,222.0
local,WA,16,75,74.79120787800723,1196.6593260481156,41603.12981834293,UPDATE,4514.0,2660.0,5128384.0,60.0,202.0
local,WA,16,80,79.85426596461458,1277.6682554338333,40864.87474162877,READ,4838.0,2526.0,5401511.0,63.0,216.0
local,WA,16,80,79.85426596461458,1277.6682554338333,42225.06089878202,UPDATE,4762.0,2583.0,5482243.0,66.0,225.0
local,WA,16,85,84.778163804711,1356.450620875376,41728.47488762947,READ,5117.0,2513.0,5269882.0,59.0,191.0
local,WA,16,85,84.778163804711,1356.450620875376,37002.299626205,UPDATE,5083.0,2671.0,5263541.0,59.0,179.0
local,WA,16,90,89.8622112760434,1437.7953804166943,35618.94707312512,READ,5347.0,2708.0,5901203.0,65.0,161.0
local,WA,16,90,89.8622112760434,1437.7953804166943,47610.04694663488,UPDATE,5453.0,2648.0,5904019.0,61.0,200.0
local,WA,16,95,94.78515365172277,1516.5624584275643,40071.79052501326,READ,5657.0,2610.0,5425867.0,65.0,187.0
local,WA,16,95,94.78515365172277,1516.5624584275643,39849.421382552675,UPDATE,5743.0,2703.0,5585910.0,62.0,173.0
