configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
local,WA,32,120,119.71866114630618,3830.9971566817976,62195.392123769336,READ,7110.0,2417.0,5306471.0,115.0,408.0
local,WA,32,120,119.71866114630618,3830.9971566817976,69056.46447187928,UPDATE,7290.0,2518.0,5336548.0,125.0,456.0
local,WA,32,160,159.72314654598696,5111.140689471583,57231.15264635541,READ,9617.0,2417.0,7297642.0,119.0,322.0
local,WA,32,160,159.72314654598696,5111.140689471583,67887.05989773557,UPDATE,9583.0,2636.0,7333010.0,123.0,385.0
local,WA,32,20,19.738465334320257,631.6308906982482,70350.68212478921,READ,1186.0,2840.0,2825790.0,83.0,385.0
local,WA,32,20,19.738465334320257,631.6308906982482,69071.76029654036,UPDATE,1214.0,2785.0,2841532.0,87.0,0.0
local,WA,32,200,199.66888243662592,6389.4042379720295,58091.548232323235,READ,11880.0,2408.0,6031918.0,108.0,351.0
local,WA,32,200,199.66888243662592,6389.4042379720295,62194.823267326734,UPDATE,12120.0,2500.0,6035154.0,112.0,355.0
local,WA,32,240,239.66845863222542,7669.390676231214,63705.30530481877,READ,14402.0,2404.0,6850839.0,115.0,332.0
local,WA,32,240,239.66845863222542,7669.390676231214,64907.940338935965,UPDATE,14398.0,2552.0,6854312.0,114.0,369.0
local,WA,32,280,279.36212315213595,8939.58794086835,70315.09988095239,READ,16800.0,2359.0,10388920.0,112.0,288.0
local,WA,32,280,279.36212315213595,8939.58794086835,70217.23267857142,UPDATE,16800.0,2485.0,10231390.0,111.0,291.0
local,WA,32,320,309.65244738327556,9908.878316264818,88354.11587252475,READ,19392.0,3080.0,7901728.0,121.0,330.0
local,WA,32,320,309.65244738327556,9908.878316264818,88554.23863636363,UPDATE,19008.0,4124.0,7901776.0,122.0,319.0
local,WA,32,360,335.73476953206966,10743.51262502623,93989.20116225012,READ,21510.0,3312.0,10711044.0,119.0,242.0
local,WA,32,360,335.73476953206966,10743.51262502623,92716.42558782849,UPDATE,21690.0,3421.0,10710920.0,119.0,254.0
local,WA,32,40,39.75747937580758,1272.2393400258425,84294.34542387178,READ,2371.0,2642.0,3870885.0,98.0,254.0
local,WA,32,40,39.75747937580758,1272.2393400258425,76501.21037463976,UPDATE,2429.0,2777.0,3866304.0,91.0,0.0
local,WA,32,400,319.7292958628361,10231.337467610756,100236.511048916,READ,23939.0,2425.0,10871002.0,116.0,233.0
local,WA,32,400,319.7292958628361,10231.337467610756,99402.15410830805,UPDATE,24061.0,2596.0,10859152.0,116.0,219.0
local,WA,32,440,353.65984353231164,11317.114993033972,90668.97419865154,READ,26549.0,5894.0,11594256.0,114.0,207.0
local,WA,32,440,353.65984353231164,11317.114993033972,89835.80983581577,UPDATE,26251.0,7168.0,11621560.0,115.0,217.0
local,WA,32,480,335.63890847429974,10740.445071177592,93953.9605272238,READ,28982.0,2360.0,10979000.0,116.0,237.0
local,WA,32,480,335.63890847429974,10740.445071177592,96220.46746802711,UPDATE,28618.0,2688.0,10981653.0,116.0,224.0
local,WA,32,5,4.850170160136451,155.20544512436643,90031.53220338983,READ,295.0,3104.0,1504004.0,743.0,224.0
local,WA,32,5,4.850170160136451,155.20544512436643,73598.4,UPDATE,305.0,3252.0,1363984.0,433.0,0.0
local,WA,32,80,79.72163861184697,2551.092435579103,74310.6647975078,READ,4815.0,2398.0,6318367.0,98.0,0.0
local,WA,32,80,79.72163861184697,2551.092435579103,67981.79540229886,UPDATE,4785.0,2613.0,6310266.0,98.0,452.0
