configName,workload,threads,target,actualTput,actualTput Total,averageLatency,operation,numOperations,minLatency,maxLatency,percentile95Latency,percentile99Latency
devmain,WrtConcern1,147,15,14.298174123164472,2101.8315961051776,2222550.4920297554,READ,941.0,33967.0,6594593.0,0,0
devmain,WrtConcern1,147,15,14.298174123164472,2101.8315961051776,17967.15254237288,CLEANUP,59.0,5260.0,215853.0,54.0,215.0
devmain,WrtConcern1,150,16,14.997225513280043,2249.5838269920064,2261667.0517970403,READ,946.0,29052.0,14664850.0,54.0,215.0
devmain,WrtConcern1,150,16,14.997225513280043,2249.5838269920064,640389.7407407408,CLEANUP,54.0,5737.0,4989124.0,0.0,0.0
devmain,WrtConcern1,15,14,9.446205910860673,141.6930886629101,1629134.6666666667,READ,546.0,35648.0,12770215.0,0.0,0.0
devmain,WrtConcern1,15,14,9.446205910860673,141.6930886629101,12074.931034482759,CLEANUP,29.0,6742.0,29034.0,25.0,29.0
devmain,WrtConcern1,170,16,15.161852778409521,2577.5149723296186,2697021.518363064,READ,953.0,29155.0,9100496.0,25.0,29.0
devmain,WrtConcern1,170,16,15.161852778409521,2577.5149723296186,550710.3829787234,CLEANUP,47.0,5479.0,4536095.0,0.0,0.0
devmain,WrtConcern1,200,15,14.843402107763099,2968.68042155262,3087299.635206787,READ,943.0,24913.0,7905707.0,0.0,0.0
devmain,WrtConcern1,200,15,14.843402107763099,2968.68042155262,66919.0350877193,CLEANUP,57.0,5326.0,506563.0,396.0,506.0
devmain,WrtConcern1,20,15,8.052461545879744,161.04923091759488,2541672.3018867923,READ,477.0,40287.0,21396110.0,396.0,506.0
devmain,WrtConcern1,20,15,8.052461545879744,161.04923091759488,76738.125,CLEANUP,24.0,5794.0,1004346.0,584.0,0.0
devmain,WrtConcern1,210,16,15.11807214344027,3174.7951501224566,3108375.3897058824,READ,952.0,30153.0,7248857.0,584.0,0.0
devmain,WrtConcern1,210,16,15.11807214344027,3174.7951501224566,37826.395833333336,CLEANUP,48.0,6225.0,254959.0,160.0,254.0
devmain,WrtConcern1,230,16,13.58068283673303,3123.557052448597,4503136.1517386725,READ,949.0,30807.0,12177153.0,160.0,254.0
devmain,WrtConcern1,230,16,13.58068283673303,3123.557052448597,12999.843137254902,CLEANUP,51.0,5904.0,60316.0,36.0,60.0
devmain,WrtConcern1,27,15,10.653184670247821,287.63598609669117,2139319.35483871,READ,682.0,22846.0,20255889.0,36.0,60.0
